datetime,temp,tempmax,tempmin,precip,humidity
2023-07-24,32.3,35.8,29.0,0.0,70.5
2023-07-25,31.1,34.6,29.0,0.0,81.2
2023-07-26,27.8,30.9,25.0,9.461,91.1
2023-07-27,29.6,34.0,27.0,0.3,84.5
2023-07-28,28.7,33.0,25.0,24.896,87.1
2023-07-29,27.8,31.0,26.0,4.509,92.4
2023-07-30,29.7,34.2,26.0,0.0,82.8
2023-07-31,31.0,34.4,28.0,0.0,78.2
2023-08-01,31.2,35.5,28.0,0.0,75.1
2023-08-02,30.6,34.6,28.8,1.272,79.7
2023-08-03,30.6,35.0,27.5,5.465,81.2
2023-08-04,29.4,33.1,27.0,31.613,86.4
2023-08-05,29.5,33.0,26.0,8.983,88.0
2023-08-06,31.4,34.1,29.0,0.0,73.6
2023-08-07,30.3,33.3,28.0,0.0,70.7
2023-08-08,30.5,33.5,27.0,0.0,71.6
2023-08-09,30.7,33.0,28.1,0.0,69.0
2023-08-10,30.7,34.4,28.0,0.051,70.2
2023-08-11,31.4,35.1,28.0,0.0,65.8
2023-08-12,31.6,35.0,28.0,0.0,60.8
2023-08-13,30.9,34.3,28.0,0.0,65.1
2023-08-14,30.7,34.0,28.0,0.0,69.8
2023-08-15,30.1,33.4,27.0,7.508,80.2
2023-08-16,32.0,35.3,28.7,17.896,71.2
2023-08-17,32.2,35.3,28.9,0.0,63.4
2023-08-18,32.6,36.0,29.0,0.0,63.3
2023-08-19,30.1,34.0,25.0,36.639,84.1
2023-08-20,31.8,35.0,29.0,0.0,74.8
2023-08-21,32.4,36.6,29.0,0.0,74.3
2023-08-22,31.1,35.4,28.0,0.0,81.0
2023-08-23,27.7,29.0,27.0,5.279,91.7
2023-08-24,29.2,32.3,26.0,0.0,74.9
2023-08-25,30.3,34.0,26.9,0.0,67.7
2023-08-26,30.7,34.1,27.0,0.0,63.1
2023-08-27,30.9,35.3,27.0,0.0,57.7
2023-08-28,30.7,34.6,27.0,0.0,61.9
2023-08-29,31.5,35.0,27.0,0.0,60.7
2023-08-30,31.6,35.2,28.0,0.0,62.0
2023-08-31,32.0,35.9,28.0,0.0,60.2
2023-09-01,32.5,36.5,28.0,0.0,59.2
2023-09-02,32.4,36.7,28.3,0.0,55.4
2023-09-03,31.7,36.0,28.0,0.0,56.7
2023-09-04,31.6,36.0,27.9,0.0,57.2
2023-09-05,32.0,36.6,27.0,0.6,60.8
2023-09-06,31.6,36.4,27.0,0.0,58.3
2023-09-07,30.7,36.8,28.0,0.746,65.0
2023-09-08,30.3,35.8,26.0,0.0,65.7
2023-09-09,27.3,31.0,24.9,24.508,86.0
2023-09-10,25.7,28.3,24.0,31.352,96.0
2023-09-11,27.6,31.2,24.8,0.746,85.5
2023-09-12,29.1,33.2,26.0,0.0,78.4
2023-09-13,30.8,34.2,27.0,0.0,75.1
2023-09-14,31.9,35.6,28.0,0.0,73.1
2023-09-15,29.4,32.5,24.5,2.017,82.0
2023-09-16,28.0,32.3,25.0,10.746,90.6
2023-09-17,28.3,32.0,26.0,1.491,87.6
2023-09-18,28.6,32.3,25.0,0.0,77.5
2023-09-19,30.6,34.0,27.0,0.0,71.1
2023-09-20,31.3,35.1,27.0,0.0,66.2
2023-09-21,31.1,36.5,28.0,0.254,69.5
2023-09-22,30.9,34.6,27.0,0.0,70.7
2023-09-23,28.3,32.8,25.0,14.254,84.0
2023-09-24,28.4,33.2,25.0,0.0,76.4
2023-09-25,29.5,34.2,25.0,0.0,70.9
2023-09-26,30.1,34.8,26.0,0.0,68.0
2023-09-27,29.6,33.5,26.0,0.0,64.5
2023-09-28,28.6,34.0,24.0,0.0,63.1
2023-09-29,29.1,33.5,24.0,0.0,61.2
2023-09-30,29.6,35.2,25.0,0.0,60.5
2023-10-01,29.0,34.3,24.0,0.0,59.2
2023-10-02,27.9,34.0,22.0,0.0,50.9
2023-10-03,27.5,33.3,21.0,0.0,45.8
2023-10-04,27.8,34.0,22.0,0.0,52.0
2023-10-05,27.8,34.0,21.0,0.0,51.4
2023-10-06,28.2,35.0,22.4,0.0,49.6
2023-10-07,29.2,34.2,24.5,0.0,55.9
2023-10-08,30.3,35.5,26.0,0.0,58.2
2023-10-09,30.5,35.2,26.0,0.0,56.7
2023-10-10,30.0,35.0,26.4,0.0,50.3
2023-10-11,28.1,34.0,23.0,0.0,54.1
2023-10-12,27.1,33.0,21.0,0.0,50.8
2023-10-13,28.3,35.0,22.0,0.0,52.4
2023-10-14,29.1,35.2,24.0,0.0,51.6
2023-10-15,27.8,33.0,24.0,0.0,54.5
2023-10-16,25.5,28.2,21.1,1.0,57.1
2023-10-17,21.9,24.9,19.0,3.254,76.8
2023-10-18,24.2,30.0,19.0,0.0,62.1
2023-10-19,23.8,29.0,18.0,0.0,57.9
2023-10-20,24.2,30.0,19.8,0.0,57.8
2023-10-21,23.9,30.0,19.0,0.0,57.5
2023-10-22,24.5,30.0,19.5,0.0,57.4
2023-10-23,24.5,30.0,20.0,0.0,60.8
2023-10-24,24.8,30.0,20.0,0.0,53.9
2023-10-25,24.4,30.0,19.0,0.0,55.6
2023-10-26,24.4,31.0,19.0,0.0,52.2
2023-10-27,23.9,30.0,18.0,0.0,50.1
2023-10-28,24.5,31.0,18.9,0.0,49.2
2023-10-29,24.5,31.3,19.0,0.0,53.2
2023-10-30,25.5,32.0,20.0,0.0,55.3
2023-10-31,25.1,31.1,20.0,0.0,65.0
2023-11-01,24.6,30.8,18.0,0.0,62.2
2023-11-02,23.8,29.1,19.0,0.0,69.6
2023-11-03,23.1,29.0,19.0,0.0,70.3
2023-11-04,23.0,28.1,19.0,0.0,74.0
2023-11-05,23.6,31.0,18.0,0.0,68.5
2023-11-06,22.9,30.0,16.0,0.0,62.8
2023-11-07,23.5,30.1,17.0,0.0,61.4
2023-11-08,23.7,30.0,18.8,0.0,63.5
2023-11-09,23.8,30.0,18.0,0.1,63.3
2023-11-10,20.4,22.0,18.0,6.509,82.5
2023-11-11,19.8,25.0,16.0,0.0,75.3
2023-11-12,19.9,26.0,14.0,0.0,71.7
2023-11-13,19.9,26.0,15.0,0.0,72.8
2023-11-14,19.7,25.0,15.7,0.0,67.8
2023-11-15,19.3,26.0,14.0,0.0,68.5
2023-11-16,19.2,25.6,14.0,0.0,75.2
2023-11-17,20.3,27.0,14.0,0.0,71.2
2023-11-18,20.8,27.0,15.0,0.0,66.4
2023-11-19,20.2,26.0,15.8,0.0,65.6
2023-11-20,19.5,25.0,15.0,0.0,71.3
2023-11-21,19.0,25.0,14.0,0.0,68.6
2023-11-22,17.9,25.0,13.0,0.0,66.1
2023-11-23,18.7,26.0,12.2,0.0,65.2
2023-11-24,18.7,26.0,13.0,0.0,67.3
2023-11-25,18.4,25.0,14.0,0.0,67.1
2023-11-26,19.7,25.5,14.0,0.0,63.8
2023-11-27,18.6,23.1,16.0,3.271,72.7
2023-11-28,17.9,20.0,16.0,0.349,85.0
2023-11-29,18.7,24.1,14.9,0.0,79.5
2023-11-30,19.3,24.0,15.0,0.0,81.1
2023-12-01,19.6,23.6,16.0,0.0,81.1
2023-12-02,18.0,23.1,14.0,0.0,82.1
2023-12-03,18.6,24.6,13.0,0.0,72.6
2023-12-04,19.5,24.0,16.0,0.075,68.3
2023-12-05,18.1,24.0,14.0,0.0,65.7
2023-12-06,17.0,24.0,12.0,0.0,69.2
2023-12-07,16.8,22.0,12.0,0.0,72.9
2023-12-08,17.6,25.0,12.0,0.0,67.7
2023-12-09,17.3,24.0,11.0,0.0,66.6
2023-12-10,15.8,22.0,10.0,0.0,66.1
2023-12-11,15.7,23.0,10.6,0.0,64.8
2023-12-12,16.3,23.0,10.0,0.0,69.8
2023-12-13,16.7,23.0,11.8,0.0,67.5
2023-12-14,15.6,23.0,10.0,0.0,63.5
2023-12-15,15.4,23.0,9.0,0.0,64.1
2023-12-16,15.3,22.4,9.6,0.0,63.5
2023-12-17,16.1,23.0,10.0,0.0,62.3
2023-12-18,14.7,20.6,10.0,0.0,70.5
2023-12-19,14.6,22.0,8.0,0.0,64.0
2023-12-20,14.5,21.0,9.0,0.0,66.7
2023-12-21,14.5,22.0,8.0,0.0,74.1
2023-12-22,14.5,21.0,8.0,0.0,74.5
2023-12-23,16.4,23.0,12.7,0.1,72.5
2023-12-24,16.3,23.0,10.0,0.0,76.1
2023-12-25,14.8,22.0,11.0,0.0,81.7
2023-12-26,14.1,21.0,8.0,0.0,84.9
2023-12-27,12.9,16.8,11.0,0.0,92.2
2023-12-28,12.7,18.0,10.0,0.0,91.4
2023-12-29,13.7,18.0,12.0,0.0,93.7
2023-12-30,14.6,18.9,13.0,0.0,89.6
2023-12-31,13.3,16.0,11.9,0.0,86.0
